S.No.,Country,2018-2019,%Share,2019-2020,%Share,%Growth
56,DENMARK,746.59,0.23,733.96,0.23,-1.69
57,DJIBOUTI,790.66,0.24,316.01,0.10,-60.03
58,DOMINIC REP,215.81,0.07,213.32,0.07,-1.15
59,DOMINICA,1.30,0.00,2.17,0.00,67.58
60,ECUADOR,297.96,0.09,253.00,0.08,-15.09
61,EGYPT A RP,2886.39,0.87,2504.23,0.80,-13.24
62,EL SALVADOR,78.66,0.02,79.34,0.03,0.86
63,EQUTL GUINEA,11.89,0.00,10.92,0.00,-8.13
64,ERITREA,9.03,0.00,5.92,0.00,-34.50
65,ESTONIA,64.32,0.02,65.44,0.02,1.75
66,ETHIOPIA,766.03,0.23,798.31,0.25,4.21
67,FALKLAND IS,0.00,0.00,0.08,0.00,5685.71
68,FAROE IS.,2.96,0.00,0.91,0.00,-69.26
69,FIJI IS,60.80,0.02,55.70,0.02,-8.38
70,FINLAND,256.12,0.08,268.63,0.09,4.88
71,FR GUIANA,1.90,0.00,0.98,0.00,-48.43
72,FR POLYNESIA,5.50,0.00,6.04,0.00,9.87
73,FRANCE,5232.57,1.59,5097.81,1.63,-2.58
74,GABON,55.17,0.02,45.55,0.01,-17.44
75,GAMBIA,156.61,0.05,132.33,0.04,-15.51
76,GEORGIA,110.40,0.03,82.77,0.03,-25.02
77,GERMANY,8902.43,2.70,8290.90,2.65,-6.87
78,GHANA,717.33,0.22,617.42,0.20,-13.93
79,GIBRALTAR,575.13,0.17,629.14,0.20,9.39
80,GREECE,503.37,0.15,445.59,0.14,-11.48
81,GREENLAND,0.00,0.00,0.03,0.00,694.12
82,GRENADA,3.77,0.00,2.79,0.00,-25.98
83,GUADELOUPE,3.42,0.00,7.80,0.00,128.06
84,GUAM,0.66,0.00,0.91,0.00,38.20
85,GUATEMALA,305.37,0.09,291.32,0.09,-4.60
86,GUERNSEY,0.00,0.00,0.00,0.00,0.00
87,GUINEA,404.84,0.12,354.82,0.11,-12.36
88,GUINEA BISSAU,10.76,0.00,8.99,0.00,-16.42
89,GUYANA,29.66,0.01,25.21,0.01,-15.01
90,HAITI,79.35,0.02,65.51,0.02,-17.44
91,HEARD MACDONALD,0.03,0.00,0.00,0.00,0.00
92,HONDURAS,166.72,0.05,185.34,0.06,11.17
93,HONG KONG,13001.99,3.94,10967.12,3.50,-15.65
94,HUNGARY,458.08,0.14,423.94,0.14,-7.45
95,ICELAND,30.79,0.01,10.05,0.00,-67.36
96,INDONESIA,5275.60,1.60,4129.33,1.32,-21.73
97,IRAN,3511.01,1.06,3373.62,1.08,-3.91
98,IRAQ,1788.66,0.54,1878.17,0.60,5.00
99,IRELAND,530.56,0.16,533.69,0.17,0.59
100,ISRAEL,3717.98,1.13,3363.10,1.07,-9.55
101,ITALY,5593.42,1.69,4970.81,1.59,-11.13
102,JAMAICA,55.42,0.02,56.76,0.02,2.41
103,JAPAN,4861.73,1.47,4520.25,1.44,-7.02
104,JERSEY ,0.00,0.00,0.00,0.00,0.00
105,JORDAN,578.81,0.18,960.66,0.31,65.97
106,KAZAKHSTAN,143.13,0.04,202.59,0.06,41.54
107,KENYA,2071.84,0.63,2108.58,0.67,1.77
108,KIRIBATI REP,0.37,0.00,0.39,0.00,4.49
109,KOREA DP RP,26.99,0.01,8.97,0.00,-66.75
110,KOREA RP,4705.07,1.43,4845.15,1.55,2.98
111,KUWAIT,1333.92,0.40,1286.56,0.41,-3.55
112,KYRGHYZSTAN,30.02,0.01,29.13,0.01,-2.96
113,LAO PD RP,39.38,0.01,25.08,0.01,-36.31
114,LATVIA,115.52,0.04,119.25,0.04,3.23
115,LEBANON,268.67,0.08,203.97,0.07,-24.08
116,LESOTHO,30.46,0.01,40.78,0.01,33.88
117,LIBERIA,178.81,0.05,219.52,0.07,22.77
118,LIBYA,156.76,0.05,184.40,0.06,17.63
119,LIECHTENSTEIN,3.40,0.00,4.36,0.00,28.22
120,LITHUANIA,127.38,0.04,110.76,0.04,-13.04
121,LUXEMBOURG,30.07,0.01,20.34,0.01,-32.35
122,MACAO,1.06,0.00,6.28,0.00,495.19
123,MACEDONIA,19.54,0.01,22.61,0.01,15.68
124,MADAGASCAR,196.38,0.06,301.73,0.10,53.65
125,MALAWI,201.55,0.06,185.09,0.06,-8.17
126,MALAYSIA,6436.30,1.95,6364.66,2.03,-1.11
127,MALDIVES,223.02,0.07,226.57,0.07,1.59
128,MALI,130.69,0.04,146.14,0.05,11.82
129,MALTA,229.52,0.07,208.20,0.07,-9.29
130,MARSHALL ISLAND,0.32,0.00,32.53,0.01,10061.32
131,MARTINIQUE,3.58,0.00,3.81,0.00,6.47
132,MAURITANIA,115.59,0.04,83.83,0.03,-27.48
133,MAURITIUS,1160.78,0.35,662.13,0.21,-42.96
134,MAYOTTE,2.79,0.00,3.13,0.00,12.30
135,MEXICO,3841.57,1.16,3623.71,1.16,-5.67
136,MICRONESIA,0.34,0.00,0.53,0.00,56.68
137,MOLDOVA,8.63,0.00,8.71,0.00,0.90
138,MONACO,2.55,0.00,1.96,0.00,-23.09
139,MONGOLIA,22.81,0.01,16.27,0.01,-28.67
140,MONTENEGRO,38.93,0.01,19.96,0.01,-48.74
141,MONTSERRAT,0.06,0.00,0.06,0.00,3.16
142,MOROCCO,680.06,0.21,799.45,0.26,17.56
143,MOZAMBIQUE,1073.31,0.33,2174.31,0.69,102.58
144,MYANMAR,1205.60,0.37,973.89,0.31,-19.22
145,N. MARIANA IS.,0.27,0.00,0.15,0.00,-45.01
146,NAMIBIA,82.37,0.03,66.18,0.02,-19.66
147,NAURU RP,0.53,0.00,0.14,0.00,-73.63
148,NEPAL,7766.20,2.35,7160.35,2.29,-7.80
149,NETHERLAND,8812.84,2.67,8366.11,2.67,-5.07
150,NETHERLANDANTIL,30.58,0.01,30.00,0.01,-1.87
151,NEW CALEDONIA,8.83,0.00,15.20,0.00,72.24
152,NEW ZEALAND,379.87,0.12,378.55,0.12,-0.35
153,NICARAGUA,53.87,0.02,65.52,0.02,21.63
154,NIGER,94.84,0.03,73.60,0.02,-22.40
155,NIGERIA,3005.21,0.91,3609.91,1.15,20.12
156,NIUE IS,0.00,0.00,0.08,0.00,0.00
157,NORFOLK IS,0.19,0.00,0.33,0.00,75.11
158,NORWAY,313.05,0.09,421.61,0.13,34.68
159,OMAN,2246.31,0.68,2261.81,0.72,0.69
160,PAKISTAN IR,2066.56,0.63,816.62,0.26,-60.48
161,PALAU,0.09,0.00,0.05,0.00,-39.52
162,PANAMA C Z,0.00,0.00,0.01,0.00,0.00
163,PANAMA REPUBLIC,227.26,0.07,238.52,0.08,4.96
164,PAPUA N GNA,49.72,0.02,56.02,0.02,12.66
165,PARAGUAY,160.71,0.05,126.96,0.04,-21.00
166,PERU,721.03,0.22,764.00,0.24,5.96
167,PHILIPPINES,1743.64,0.53,1526.03,0.49,-12.48
168,PITCAIRN IS.,0.01,0.00,0.02,0.00,89.34
169,POLAND,1572.80,0.48,1548.11,0.49,-1.57
170,PORTUGAL,743.27,0.23,744.79,0.24,0.20
171,PUERTO RICO,138.42,0.04,134.44,0.04,-2.88
172,QATAR,1611.16,0.49,1268.35,0.40,-21.28
173,REUNION,47.23,0.01,40.15,0.01,-14.98
174,ROMANIA,430.30,0.13,366.89,0.12,-14.74
175,RUSSIA,2389.47,0.72,3017.67,0.96,26.29
176,RWANDA,144.90,0.04,124.05,0.04,-14.39
177,SAHARWI A.DM RP,0.00,0.00,0.00,0.00,28.00
178,SAMOA,2.59,0.00,4.25,0.00,64.35
179,SAN MARINO,0.15,0.00,0.25,0.00,62.65
180,SAO TOME,1.18,0.00,1.50,0.00,26.58
181,SAUDI ARAB,5561.72,1.69,6236.86,1.99,12.14
182,SENEGAL,639.24,0.19,477.10,0.15,-25.36
183,SERBIA,72.33,0.02,83.68,0.03,15.69
184,SEYCHELLES,84.49,0.03,66.64,0.02,-21.12
185,SIERRA LEONE,112.27,0.03,115.37,0.04,2.76
186,SINGAPORE,11572.27,3.51,8922.66,2.85,-22.90
187,SINT MAARTEN (DUTCH PART),0.00,0.00,0.08,0.00,0.00
188,SLOVAK REP,145.96,0.04,138.42,0.04,-5.17
189,SLOVENIA,314.05,0.10,332.55,0.11,5.89
190,SOLOMON IS,2.57,0.00,2.04,0.00,-20.62
191,SOMALIA,537.25,0.16,583.87,0.19,8.68
192,SOUTH AFRICA,4067.20,1.23,4108.17,1.31,1.01
193,SOUTH SUDAN ,10.53,0.00,20.05,0.01,90.36
194,SPAIN,4182.49,1.27,3945.44,1.26,-5.67
195,SRI LANKA DSR,4710.21,1.43,3800.91,1.21,-19.30
196,ST HELENA,0.02,0.00,0.33,0.00,1938.27
197,ST KITT N A,2.37,0.00,2.56,0.00,7.85
198,ST LUCIA,4.01,0.00,3.24,0.00,-19.21
199,ST PIERRE,0.01,0.00,0.00,0.00,0.00
200,ST VINCENT,0.73,0.00,0.69,0.00,-6.39
201,STATE OF PALEST,1.49,0.00,1.09,0.00,-26.91
202,SUDAN,920.88,0.28,1096.88,0.35,19.11
203,SURINAME,22.58,0.01,31.12,0.01,37.84
204,SVALLBARD AND J,0.00,0.00,0.00,0.00,0.00
205,SWAZILAND,19.20,0.01,18.57,0.01,-3.26
206,SWEDEN,792.23,0.24,748.42,0.24,-5.53
207,SWITZERLAND,1186.69,0.36,1200.08,0.38,1.13
208,SYRIA,154.59,0.05,159.33,0.05,3.07
209,TAIWAN,2607.21,0.79,1674.52,0.53,-35.77
210,TAJIKISTAN,22.28,0.01,23.50,0.01,5.49
211,TANZANIA REP,1704.04,0.52,1740.08,0.56,2.11
212,THAILAND,4441.40,1.35,4299.30,1.37,-3.20
213,TIMOR LESTE,5.26,0.00,6.33,0.00,20.19
214,TOGO,694.09,0.21,1040.60,0.33,49.92
215,TOKELAU IS,0.00,0.00,0.00,0.00,-66.67
216,TONGA,0.35,0.00,0.66,0.00,90.48
217,TRINIDAD,83.75,0.03,85.11,0.03,1.62
218,TUNISIA,304.21,0.09,245.02,0.08,-19.45
219,TURKEY,5452.45,1.65,4969.47,1.59,-8.86
220,TURKMENISTAN,45.64,0.01,33.90,0.01,-25.74
221,TURKS C IS,0.26,0.00,0.64,0.00,143.30
222,TUVALU,0.00,0.00,0.00,0.00,-10.53
223,U ARAB EMTS,30126.73,9.13,28853.59,9.21,-4.23
224,U K,9309.29,2.82,8737.85,2.79,-6.14
225,U S A,52406.27,15.88,53088.77,16.94,1.30
226,UGANDA,580.08,0.18,621.52,0.20,7.14
227,UKRAINE,390.80,0.12,463.81,0.15,18.68
228,UNION OF SERBIA & MONTENEGRO,0.00,0.00,0.00,0.00,0.00
229,UNSPECIFIED,2907.22,0.88,2546.99,0.81,-12.39
230,URUGUAY,180.99,0.05,147.69,0.05,-18.40
231,US MINOR OUTLYING ISLANDS ,0.69,0.00,0.40,0.00,-42.10
232,UZBEKISTAN,201.41,0.06,180.21,0.06,-10.53
233,VANUATU REP,1.97,0.00,2.42,0.00,22.48
234,VATICAN CITY,0.03,0.00,0.03,0.00,16.91
235,VENEZUELA,164.77,0.05,339.71,0.11,106.17
236,VIETNAM SOC REP,6507.38,1.97,5059.90,1.61,-22.24
237,VIRGIN IS US,42.50,0.01,81.40,0.03,91.52
238,WALLIS F IS,0.00,0.00,0.02,0.00,0.00
239,YEMEN REPUBLC,741.32,0.22,721.25,0.23,-2.71
240,ZAMBIA,319.05,0.10,247.64,0.08,-22.38
241,ZIMBABWE,181.72,0.06,161.13,0.05,-11.33
0,India's Total Export,330078.09,0.00,313361.04,0.00,-5.06
